iter	Passed	Remaining
0	0	94
1	1	88
2	2	81
3	3	76
4	3	74
5	4	73
6	5	73
7	6	72
8	7	73
9	8	72
10	8	70
11	9	69
12	10	68
13	10	67
14	11	66
15	12	64
16	13	64
17	13	63
18	14	63
19	15	61
20	16	61
21	16	60
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	55
28	22	54
29	23	53
30	23	52
31	24	51
32	25	50
33	25	50
34	26	49
35	27	48
36	28	47
37	29	47
38	30	47
39	31	46
40	31	45
41	32	44
42	33	44
43	34	44
44	35	43
45	36	42
46	37	41
47	37	40
48	38	39
49	39	39
50	39	38
51	40	37
52	41	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	32
58	45	31
59	46	30
60	46	29
61	47	29
62	48	28
63	48	27
64	49	26
65	50	25
66	51	25
67	51	24
68	52	23
69	53	22
70	53	22
71	54	21
72	55	20
73	56	19
74	57	19
75	57	18
76	58	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	13
83	66	12
84	66	11
85	67	11
86	68	10
87	69	9
88	70	8
89	72	8
90	73	7
91	74	6
92	75	5
93	76	4
94	77	4
95	78	3
96	79	2
97	80	1
98	80	0
99	82	0
